epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.79527,0,90.5069,0,0,0,0,0,0,40.3881,0,2e-05,2e-05,2e-05
2,18.1123,0,89.9756,0,0,0,0,0,0,40.4419,0,5.406e-05,5.406e-05,5.406e-05
3,26.465,0,88.549,0,0,0,0,0,0,40.4775,0,8.02e-05,8.02e-05,8.02e-05
4,34.6862,0,87.3475,0,0,0,0,0,0,40.4962,0,9.842e-05,9.842e-05,9.842e-05
5,42.8157,0,86.3527,0,0,0,0,0,0,40.5421,0,0.00010872,0.00010872,0.00010872
6,51.5612,0,84.7093,0,0,0,0,0,0,40.648,0,0.0001111,0.0001111,0.0001111
7,60.1939,0,83.0245,0,0,0,0,0,0,40.837,0,0.00010556,0.00010556,0.00010556
8,68.6782,0,81.1632,0,0,0,0,0,0,41.102,0,9.21e-05,9.21e-05,9.21e-05
9,76.9768,0,79.7549,0,0,0,0,0,0,41.1921,0,7.072e-05,7.072e-05,7.072e-05
10,85.9241,0,79.0527,0,0,0,0,0,0,41.2304,0,4.142e-05,4.142e-05,4.142e-05
